
fuzzy_threshold=100
did 	 dtitle 	 dauthor 	 dvenue 	 dyear 	 drowid 	 sid 	 stitle 	 sauthor 	 svenue 	 syear 	 srowid 
journals/sigmod/Aberer02	book review column	aberer	sigmod record	2002	22	url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D604274%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222	book review column	aberer	sigmod	2002	6685
journals/sigmod/Aberer02b	book review column	aberer	sigmod record	2002	118	url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D604274%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222	book review column	aberer	sigmod	2002	6685
journals/sigmod/Aberer02	book review column	aberer	sigmod record	2002	22	url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D604274%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222	book review column	aberer	sigmod	2002	6685
journals/sigmod/Aberer02c	book review column	aberer	sigmod record	2002	2599	url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D604274%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222	book review column	aberer	sigmod	2002	6685
conf/sigmod/ShashaB02	databas tune principl experi troubleshoot techniqu part ii	shasha bonnet	sigmod conference	2002	449	url:http://portal.acm.org/citation.cfm%3Fid%3D564691.564798%26dl%3DGUIDE%26dl%3DACM%26type%3Dseries%26idx%3D564691%26part%3DProceedings%26WantType%3DProceedings%26title%3DInternational%2520Conference%2520on%2520Management%2520of%2520Data%2520and%2520Symposium%2520on%2520Principles%2520of%2520Database%2520Systems%26CFID%3D11111111%26CFTOKEN%3D2222222	databas tune principl experi troubleshoot techniqu part	shasha bonnet	"proceedings of the 2002 acm sigmod international conference  &hellip;,"	2002	64007
conf/sigmod/ShashaB02a	databas tune principl experi troubleshoot techniqu part	shasha bonnet	sigmod conference	2002	451	url:http://portal.acm.org/citation.cfm%3Fid%3D564691.564798%26dl%3DGUIDE%26dl%3DACM%26type%3Dseries%26idx%3D564691%26part%3DProceedings%26WantType%3DProceedings%26title%3DInternational%2520Conference%2520on%2520Management%2520of%2520Data%2520and%2520Symposium%2520on%2520Principles%2520of%2520Database%2520Systems%26CFID%3D11111111%26CFTOKEN%3D2222222	databas tune principl experi troubleshoot techniqu part	shasha bonnet	"proceedings of the 2002 acm sigmod international conference  &hellip;,"	2002	64007
conf/sigmod/ShashaB02	databas tune principl experi troubleshoot techniqu part ii	shasha bonnet	sigmod conference	2002	449	url:http://portal.acm.org/citation.cfm%3Fid%3D564691.564798%26dl%3DGUIDE%26dl%3DACM%26type%3Dseries%26idx%3D564691%26part%3DProceedings%26WantType%3DProceedings%26title%3DInternational%2520Conference%2520on%2520Management%2520of%2520Data%2520and%2520Symposium%2520on%2520Principles%2520of%2520Database%2520Systems%26CFID%3D11111111%26CFTOKEN%3D2222222	databas tune principl experi troubleshoot techniqu part	shasha bonnet	"proceedings of the 2002 acm sigmod international conference  &hellip;,"	2002	64007
conf/vldb/ShashaB02	databas tune principl experi troubleshoot techniqu	shasha bonnet	vldb	2002	2188	url:http://portal.acm.org/citation.cfm%3Fid%3D564691.564798%26dl%3DGUIDE%26dl%3DACM%26type%3Dseries%26idx%3D564691%26part%3DProceedings%26WantType%3DProceedings%26title%3DInternational%2520Conference%2520on%2520Management%2520of%2520Data%2520and%2520Symposium%2520on%2520Principles%2520of%2520Database%2520Systems%26CFID%3D11111111%26CFTOKEN%3D2222222	databas tune principl experi troubleshoot techniqu part	shasha bonnet	"proceedings of the 2002 acm sigmod international conference  &hellip;,"	2002	64007
journals/sigmod/Bhashyam96	tcpd  challeng issu result	bhashyam	sigmod record	1996	755	url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D245908%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222	tpcdthe challeng issu result	bhashyam	"sigmod record,"	1996	31562
conf/vldb/Bhashyam96	tpcd challeng issu result	bhashyam	vldb	1996	1943	url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D245908%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222	tpcdthe challeng issu result	bhashyam	"sigmod record,"	1996	31562
fuzzy_threshold=80
did 	 dtitle 	 dauthor 	 dvenue 	 dyear 	 drowid 	 sid 	 stitle 	 sauthor 	 svenue 	 syear 	 srowid 
journals/sigmod/Aberer02	book review column	aberer	sigmod record	2002	22	url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D604274%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222	book review column	aberer	sigmod	2002	6685
journals/sigmod/Aberer02a	book review column	aberer	sigmod record	2002	64	url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D604274%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222	book review column	aberer	sigmod	2002	6685
journals/sigmod/Aberer02	book review column	aberer	sigmod record	2002	22	url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D604274%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222	book review column	aberer	sigmod	2002	6685
journals/sigmod/Aberer02b	book review column	aberer	sigmod record	2002	118	url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D604274%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222	book review column	aberer	sigmod	2002	6685
journals/sigmod/Aberer02	book review column	aberer	sigmod record	2002	22	url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D604274%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222	book review column	aberer	sigmod	2002	6685
journals/sigmod/Aberer02c	book review column	aberer	sigmod record	2002	2599	url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D604274%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222	book review column	aberer	sigmod	2002	6685
journals/sigmod/HalkidiBV02	cluster valid method part	halkidi batistakis vazirgiannis	sigmod record	2002	38	GHjgDrEbqM4J	cluster valid method part	halkidi batistakis vazirgiannis	"sigmod record,"	2002	11886
journals/sigmod/HalkidiBV02a	cluster valid check method part ii	halkidi batistakis vazirgiannis	sigmod record	2002	113	GHjgDrEbqM4J	cluster valid method part	halkidi batistakis vazirgiannis	"sigmod record,"	2002	11886
conf/sigmod/ShashaB02	databas tune principl experi troubleshoot techniqu part ii	shasha bonnet	sigmod conference	2002	449	url:http://portal.acm.org/citation.cfm%3Fid%3D564691.564798%26dl%3DGUIDE%26dl%3DACM%26type%3Dseries%26idx%3D564691%26part%3DProceedings%26WantType%3DProceedings%26title%3DInternational%2520Conference%2520on%2520Management%2520of%2520Data%2520and%2520Symposium%2520on%2520Principles%2520of%2520Database%2520Systems%26CFID%3D11111111%26CFTOKEN%3D2222222	databas tune principl experi troubleshoot techniqu part	shasha bonnet	"proceedings of the 2002 acm sigmod international conference  &hellip;,"	2002	64007
conf/sigmod/ShashaB02a	databas tune principl experi troubleshoot techniqu part	shasha bonnet	sigmod conference	2002	451	url:http://portal.acm.org/citation.cfm%3Fid%3D564691.564798%26dl%3DGUIDE%26dl%3DACM%26type%3Dseries%26idx%3D564691%26part%3DProceedings%26WantType%3DProceedings%26title%3DInternational%2520Conference%2520on%2520Management%2520of%2520Data%2520and%2520Symposium%2520on%2520Principles%2520of%2520Database%2520Systems%26CFID%3D11111111%26CFTOKEN%3D2222222	databas tune principl experi troubleshoot techniqu part	shasha bonnet	"proceedings of the 2002 acm sigmod international conference  &hellip;,"	2002	64007
conf/sigmod/ShashaB02	databas tune principl experi troubleshoot techniqu part ii	shasha bonnet	sigmod conference	2002	449	url:http://portal.acm.org/citation.cfm%3Fid%3D564691.564798%26dl%3DGUIDE%26dl%3DACM%26type%3Dseries%26idx%3D564691%26part%3DProceedings%26WantType%3DProceedings%26title%3DInternational%2520Conference%2520on%2520Management%2520of%2520Data%2520and%2520Symposium%2520on%2520Principles%2520of%2520Database%2520Systems%26CFID%3D11111111%26CFTOKEN%3D2222222	databas tune principl experi troubleshoot techniqu part	shasha bonnet	"proceedings of the 2002 acm sigmod international conference  &hellip;,"	2002	64007
conf/vldb/ShashaB02	databas tune principl experi troubleshoot techniqu	shasha bonnet	vldb	2002	2188	url:http://portal.acm.org/citation.cfm%3Fid%3D564691.564798%26dl%3DGUIDE%26dl%3DACM%26type%3Dseries%26idx%3D564691%26part%3DProceedings%26WantType%3DProceedings%26title%3DInternational%2520Conference%2520on%2520Management%2520of%2520Data%2520and%2520Symposium%2520on%2520Principles%2520of%2520Database%2520Systems%26CFID%3D11111111%26CFTOKEN%3D2222222	databas tune principl experi troubleshoot techniqu part	shasha bonnet	"proceedings of the 2002 acm sigmod international conference  &hellip;,"	2002	64007
journals/sigmod/Bhashyam96	tcpd  challeng issu result	bhashyam	sigmod record	1996	755	url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D245908%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222	tpcdthe challeng issu result	bhashyam	"sigmod record,"	1996	31562
conf/vldb/Bhashyam96	tpcd challeng issu result	bhashyam	vldb	1996	1943	url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D245908%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222	tpcdthe challeng issu result	bhashyam	"sigmod record,"	1996	31562
fuzzy_threshold=70
did 	 dtitle 	 dauthor 	 dvenue 	 dyear 	 drowid 	 sid 	 stitle 	 sauthor 	 svenue 	 syear 	 srowid 
journals/sigmod/Aberer02	book review column	aberer	sigmod record	2002	22	url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D604274%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222	book review column	aberer	sigmod	2002	6685
journals/sigmod/Aberer02a	book review column	aberer	sigmod record	2002	64	url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D604274%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222	book review column	aberer	sigmod	2002	6685
journals/sigmod/Aberer02	book review column	aberer	sigmod record	2002	22	url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D604274%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222	book review column	aberer	sigmod	2002	6685
journals/sigmod/Aberer02b	book review column	aberer	sigmod record	2002	118	url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D604274%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222	book review column	aberer	sigmod	2002	6685
journals/sigmod/Aberer02	book review column	aberer	sigmod record	2002	22	url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D604274%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222	book review column	aberer	sigmod	2002	6685
journals/sigmod/Aberer02c	book review column	aberer	sigmod record	2002	2599	url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D604274%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222	book review column	aberer	sigmod	2002	6685
journals/sigmod/HalkidiBV02	cluster valid method part	halkidi batistakis vazirgiannis	sigmod record	2002	38	GHjgDrEbqM4J	cluster valid method part	halkidi batistakis vazirgiannis	"sigmod record,"	2002	11886
journals/sigmod/HalkidiBV02a	cluster valid check method part ii	halkidi batistakis vazirgiannis	sigmod record	2002	113	GHjgDrEbqM4J	cluster valid method part	halkidi batistakis vazirgiannis	"sigmod record,"	2002	11886
journals/sigmod/LiefkeS00	extens compressor xml data	liefke suciu	sigmod record	2000	283	N0eowMtIAukJ	extens compressor xml data	liefke suciu	"sigmod record,"	2000	6852
conf/sigmod/LiefkeS00	xmill effici compressor xml data	liefke suciu	sigmod conference	2000	861	N0eowMtIAukJ	extens compressor xml data	liefke suciu	"sigmod record,"	2000	6852
conf/sigmod/ShashaB02	databas tune principl experi troubleshoot techniqu part ii	shasha bonnet	sigmod conference	2002	449	url:http://portal.acm.org/citation.cfm%3Fid%3D564691.564798%26dl%3DGUIDE%26dl%3DACM%26type%3Dseries%26idx%3D564691%26part%3DProceedings%26WantType%3DProceedings%26title%3DInternational%2520Conference%2520on%2520Management%2520of%2520Data%2520and%2520Symposium%2520on%2520Principles%2520of%2520Database%2520Systems%26CFID%3D11111111%26CFTOKEN%3D2222222	databas tune principl experi troubleshoot techniqu part	shasha bonnet	"proceedings of the 2002 acm sigmod international conference  &hellip;,"	2002	64007
conf/sigmod/ShashaB02a	databas tune principl experi troubleshoot techniqu part	shasha bonnet	sigmod conference	2002	451	url:http://portal.acm.org/citation.cfm%3Fid%3D564691.564798%26dl%3DGUIDE%26dl%3DACM%26type%3Dseries%26idx%3D564691%26part%3DProceedings%26WantType%3DProceedings%26title%3DInternational%2520Conference%2520on%2520Management%2520of%2520Data%2520and%2520Symposium%2520on%2520Principles%2520of%2520Database%2520Systems%26CFID%3D11111111%26CFTOKEN%3D2222222	databas tune principl experi troubleshoot techniqu part	shasha bonnet	"proceedings of the 2002 acm sigmod international conference  &hellip;,"	2002	64007
conf/sigmod/ShashaB02	databas tune principl experi troubleshoot techniqu part ii	shasha bonnet	sigmod conference	2002	449	url:http://portal.acm.org/citation.cfm%3Fid%3D564691.564798%26dl%3DGUIDE%26dl%3DACM%26type%3Dseries%26idx%3D564691%26part%3DProceedings%26WantType%3DProceedings%26title%3DInternational%2520Conference%2520on%2520Management%2520of%2520Data%2520and%2520Symposium%2520on%2520Principles%2520of%2520Database%2520Systems%26CFID%3D11111111%26CFTOKEN%3D2222222	databas tune principl experi troubleshoot techniqu part	shasha bonnet	"proceedings of the 2002 acm sigmod international conference  &hellip;,"	2002	64007
conf/vldb/ShashaB02	databas tune principl experi troubleshoot techniqu	shasha bonnet	vldb	2002	2188	url:http://portal.acm.org/citation.cfm%3Fid%3D564691.564798%26dl%3DGUIDE%26dl%3DACM%26type%3Dseries%26idx%3D564691%26part%3DProceedings%26WantType%3DProceedings%26title%3DInternational%2520Conference%2520on%2520Management%2520of%2520Data%2520and%2520Symposium%2520on%2520Principles%2520of%2520Database%2520Systems%26CFID%3D11111111%26CFTOKEN%3D2222222	databas tune principl experi troubleshoot techniqu part	shasha bonnet	"proceedings of the 2002 acm sigmod international conference  &hellip;,"	2002	64007
conf/sigmod/PolyzotisG02	statist synops graphstructur xml databas	polyzotis garofalakis	sigmod conference	2002	541	obfTDYVJb4gJ	statist synops graphstructur xml databas	polyzotis garofalakis	"sigmod conference,"	2002	37953
conf/vldb/PolyzotisG02	structur valu synops xml data graph	polyzotis garofalakis	vldb	2002	2235	obfTDYVJb4gJ	statist synops graphstructur xml databas	polyzotis garofalakis	"sigmod conference,"	2002	37953
conf/sigmod/PolyzotisG02	statist synops graphstructur xml databas	polyzotis garofalakis	sigmod conference	2002	541	krAZ7iDMEOQJ	structur valu synops xml data graph	polyzotis garofalakis	"vldb,"	2002	42687
conf/vldb/PolyzotisG02	structur valu synops xml data graph	polyzotis garofalakis	vldb	2002	2235	krAZ7iDMEOQJ	structur valu synops xml data graph	polyzotis garofalakis	"vldb,"	2002	42687
journals/sigmod/Keim96	pixelori databas visual	keim	sigmod record	1996	746	AF9vuEJOr6cJ	databas visual	keim	"sigmod conference,"	1996	35328
conf/sigmod/Keim96	databas visual	keim	sigmod conference	1996	1442	AF9vuEJOr6cJ	databas visual	keim	"sigmod conference,"	1996	35328
journals/sigmod/Keim96	pixelori databas visual	keim	sigmod record	1996	746	vkUvhZOw-1YJ	pixelori databas visual	keim	"sigmod record,"	1996	41139
conf/sigmod/Keim96	databas visual	keim	sigmod conference	1996	1442	vkUvhZOw-1YJ	pixelori databas visual	keim	"sigmod record,"	1996	41139
journals/sigmod/Bhashyam96	tcpd  challeng issu result	bhashyam	sigmod record	1996	755	url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D245908%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222	tpcdthe challeng issu result	bhashyam	"sigmod record,"	1996	31562
conf/vldb/Bhashyam96	tpcd challeng issu result	bhashyam	vldb	1996	1943	url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D245908%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222	tpcdthe challeng issu result	bhashyam	"sigmod record,"	1996	31562
conf/sigmod/AcharyaGPR99a	join synops approxim queri answer	acharya gibbons poosala ramaswamy	sigmod conference	1999	997	s064OghlyIUJ	aqua approxim queri answer system	acharya gibbons poosala ramaswamy	"proceedings of the 1999 acm sigmod international conference  &hellip;,"	1999	58771
conf/sigmod/AcharyaGPR99	aqua approxim queri answer system	acharya gibbons poosala ramaswamy	sigmod conference	1999	1048	s064OghlyIUJ	aqua approxim queri answer system	acharya gibbons poosala ramaswamy	"proceedings of the 1999 acm sigmod international conference  &hellip;,"	1999	58771
conf/sigmod/SagonasSW94	xsb effici deduct databas engin	sagonas swift warren	sigmod conference	1994	1813	nDGblldnEGAJ	xsb deduct databas	sagonas swift warren	"proceedings of the 1994 acm sigmod international conference  &hellip;,"	1994	52012
conf/sigmod/SagonasSW94a	xsb deduct databas	sagonas swift warren	sigmod conference	1994	1856	nDGblldnEGAJ	xsb deduct databas	sagonas swift warren	"proceedings of the 1994 acm sigmod international conference  &hellip;,"	1994	52012
