
fuzzy_threshold=100
did 	 dtitle 	 dauthor 	 dvenue 	 dyear 	 drowid
WmtiDGY_BdoJ	process objectori queri invert late bound function	flodin risch	"proceedings of the 21th international conference on very  &hellip;,"	1995	36538
journals/sigmod/Kim02	conceptu model specif gener b2b busi process base ebxml	kim	sigmod record	2002	26
1PPb2Y8X7rAJ	conceptu model specif gener b2b busi process base ebxml	kim	"sigmod record,"	2002	16331
conf/vldb/LuSL95	neurorul connectionist approach data mine	setiono liu	vldb	1995	27
h7_7SZrI7M0J	neurorul connectionist approach data mine	setiono liu	"vldb,"	1995	49913
journals/sigmod/CiliaB02	activ function servic ebusi applic	cilia buchmann	sigmod record	2002	30
Y1HVgTopekIJ	activ function servic ebusi applic	cilia buchmann	"sigmod record,"	2002	23455
conf/vldb/LometT95	redo recoveri system crash	lomet tuttle	vldb	1995	32
7KawVN8Kj10J	redo recoveri system crash	lomet tuttle	"vldb,"	1995	28921
conf/vldb/Wang95	db2 queri parallel stage implement	wang	vldb	1995	33
7FUOWtSbiogJ	db2 queri parallel stage implement	wang	"proceedings of the 21th international conference on very  &hellip;,"	1995	61219
journals/sigmod/HalkidiBV02	cluster valid method part	halkidi batistakis vazirgiannis	sigmod record	2002	38
GHjgDrEbqM4J	cluster valid method part	halkidi batistakis vazirgiannis	"sigmod record,"	2002	11886
journals/sigmod/PourabbasR02	pictori queri languag queri geograph databas use posit olap oper	pourabbas rafanelli	sigmod record	2002	39
QyNfyYDySawJ	pictori queri languag queri geograph databas use posit olap oper	pourabbas rafanelli	"sigmod record,"	2002	60341
conf/vldb/HoelS95	benchmark spatial join oper spatial output	hoel samet	vldb	1995	40
hwBMsP8-fXcJ	benchmark spatial join oper spatial output	hoel samet	"proceedings of the international conference on very large  &hellip;,"	1995	2552
journals/sigmod/SlivinskasJS02	bring order queri optim	slivinskas jensen snodgrass	sigmod record	2002	41
xTPSs2k_pUIJ	bring order queri optim	slivinskas jensen snodgrass	"acm sigmod record,"	2002	43603
conf/vldb/BrownS95	bigsur system manag earth scienc data	brown stonebraker	vldb	1995	42
F-v-VG2RBQoJ	bigsur system manag earth scienc data	brown stonebraker	"&hellip;  international conference on very large data bases table of  &hellip;,"	1995	2163
conf/vldb/LeslieJBY95	effici search multidimension btree	leslie jain birdsall yaghmai	vldb	1995	44
zmwPMSd8rGgJ	effici search multidimension btree	leslie jain birdsall yaghmai	"vldb,"	1995	63634
journals/sigmod/Wiegand02	investig xqueri queri across databas object type	wiegand	sigmod record	2002	49
RAcoVQuEzD8J	investig xqueri queri across databas object type	wiegand	"sigmod record,"	2002	61163
journals/sigmod/OrlandicLS02	design retriev techniqu highdimension data tertiari storag	orlandic lukaszuk swietlik	sigmod record	2002	51
eLf0eStn5G4J	design retriev techniqu highdimension data tertiari storag	orlandic lukaszuk swietlik	"sigmod record,"	2002	36934
conf/vldb/WienerN95	oodb bulk load revisit partitionedlist approach	wiener naughton	vldb	1995	52
Y1lEnVPl6d8J	oodb bulk load revisit partitionedlist approach	wiener naughton	"proceedings of the international conference on very large  &hellip;,"	1995	6362
journals/sigmod/Fagin02	combin fuzzi inform overview	fagin	sigmod record	2002	55
C3swZi1md5YJ	combin fuzzi inform overview	fagin	"sigmod record,"	2002	51445
conf/vldb/GoyalHSS95	index concurr control firm realtim databas system	goyal haritsa seshadri srinivasan	vldb	1995	57
2sGH4SLcdL4J	index concurr control firm realtim databas system	goyal haritsa seshadri srinivasan	"proceedings of the 21th international conference on very  &hellip;,"	1995	13763
conf/vldb/BestavrosB95	valuecogniz specul concurr control	bestavros braoudakis	vldb	1995	59
lGyhpsPV6ogJ	valuecogniz specul concurr control	bestavros braoudakis	"proceedings of the international conference on very large  &hellip;,"	1995	39873
conf/vldb/MogiK95	hot block cluster disk array dynam stripe	mogi kitsuregawa	vldb	1995	63
39DBh8H18iEJ	hot block cluster disk array dynam stripe	mogi kitsuregawa	"proceedings of the international conference on very large  &hellip;,"	1995	22768
journals/sigmod/Aberer02a	book review column	aberer	sigmod record	2002	64
url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D604274%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222	book review column	aberer	sigmod	2002	6685
conf/vldb/JonscherD94	approach build secur databas feder	jonscher dittrich	vldb	1994	66
1R21hO7j9sQJ	approach build secur databas feder	jonscher dittrich	"vldb,"	1994	36505
journals/sigmod/YaoG02	cougar approach innetwork queri process sensor network	yao gehrke	sigmod record	2002	67
ARLe7W8EvDoJ	cougar approach innetwork queri process sensor network	yao gehrke	"sigmod record,"	2002	14320
conf/vldb/WienerN94	bulk load oodb perform studi	wiener naughton	vldb	1994	72
PrUWsoySLGcJ	bulk load oodb perform studi	wiener naughton	"proceedings of the international conference on very large  &hellip;,"	1994	37719
conf/vldb/NgH94	effici effect cluster method spatial data mine	han	vldb	1994	73
YMluKoJrxMcJ	effici effect cluster method spatial data mine	han		1994	53617
journals/sigmod/Neven02	automata theori xml research	neven	sigmod record	2002	74
xAXF0HSF4h8J	automata theori xml research	neven	"sigmod record,"	2002	12937
conf/vldb/BrownCC94	fast increment index fulltext inform retriev	brown callan croft	vldb	1994	76
oayI0FKl-nQJ	fast increment index fulltext inform retriev	brown callan croft	"proceedings of the international conference on very large  &hellip;,"	1994	25690
conf/vldb/OuzzaniAB94	topdown approach two level serializ	ouzzani atroun belkhodja	vldb	1994	80
CgoUJ7DogcwJ	topdown approach two level serializ	ouzzani atroun belkhodja	"proceedings of the 20th international conference on very  &hellip;,"	1994	56168
conf/vldb/FrohnLU94	access object path express rule	frohn lausen uphoff	vldb	1994	81
xpreqF8k7N4J	access object path express rule	frohn lausen uphoff	"proceedings of the international conference on very large  &hellip;,"	1994	25609
conf/vldb/KemperK94	dualbuff strategi object base	kemper kossmann	vldb	1994	87
qUfWV4VVxegJ	dualbuff strategi object base	kemper kossmann	"vldb,"	1994	48632
journals/sigmod/LightstoneLZ02	toward autonom comput db2 univers databas	lightstone lohman zilio	sigmod record	2002	92
7TYVQTwq9FIJ	toward autonom comput db2 univers databas	lightstone lohman zilio	"sigmod record,"	2002	15950
conf/vldb/BaralisW94	algebra approach rule analysi expert databas system	baralis widom	vldb	1994	94
q-td2YANr18J	algebra approach rule analysi expert databas system	baralis widom	"proceedings of the international conference on very large  &hellip;,"	1994	7258
conf/vldb/AgrawalS94	fast algorithm mine associ rule larg databas	agrawal srikant	vldb	1994	96
P0age7qyZacJ	fast algorithm mine associ rule larg databas	agrawal srikant		1994	7823
conf/vldb/HaberIL95	opossum desktop schema manag customiz visual	haber ioannidis livny	vldb	1995	98
UM1ZozyrJnIJ	opossum desktop schema manag customiz visual	haber ioannidis livny	"proceedings of the international conference on very large  &hellip;,"	1995	13709
conf/vldb/EvangelidisLS95	hbptree modifi hbtree support concurr recoveri node consolid	evangelidis lomet salzberg	vldb	1995	102
EbGZKQPyH_4J	hbptree modifi hbtree support concurr recoveri node consolid	evangelidis lomet salzberg	"proceedings of the international conference on very large  &hellip;,"	1995	21911
journals/sigmod/FininJ02	agent turst inform access semant web	finin joshi	sigmod record	2002	106
rg8576nvnkUJ	agent turst inform access semant web	finin joshi	"sigmod record,"	2002	53955
conf/vldb/Brin95	near neighbor search larg metric space	brin	vldb	1995	108
dXegp-RmzXEJ	near neighbor search larg metric space	brin	"vldb,"	1995	29303
conf/vldb/SistlaYLL95	similar base retriev pictur use indic spatial relationship	sistla liu liu	vldb	1995	112
HtTNmhCJY-oJ	similar base retriev pictur use indic spatial relationship	sistla liu liu	"proceedings of the international conference on very large  &hellip;,"	1995	13852
conf/vldb/Vaskevitch95	larg databas larg differ	vaskevitch	vldb	1995	117
s6Ax0WdZp6IJ	larg databas larg differ	vaskevitch	"proceedings of the international conference on very large  &hellip;,"	1995	60634
journals/sigmod/Aberer02b	book review column	aberer	sigmod record	2002	118
url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D604274%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222	book review column	aberer	sigmod	2002	6685
journals/sigmod/HuangKL02	studi manag semant transact effici data retriev	huang kwan	sigmod record	2002	119
yyUMt1X2WXcJ	studi manag semant transact effici data retriev	huang kwan	"sigmod record,"	2002	23180
conf/vldb/CatozziR95	os support vldb unix enhanc teradata data base	catozzi rabinovici	vldb	1995	121
8ftKLh07LM0J	os support vldb unix enhanc teradata data base	catozzi rabinovici	"proceedings of the international conference on very large  &hellip;,"	1995	17415
journals/sigmod/Grohe02	parameter complex databas theorist	grohe	sigmod record	2002	123
jzwiskpRLOUJ	parameter complex databas theorist	grohe	"sigmod record,"	2002	13572
conf/vldb/Fecteau95	manag db2 parallel edit databas	fecteau	vldb	1995	124
LhjvKpDcJKUJ	manag db2 parallel edit databas	fecteau	"proceedings of the international conference on very large  &hellip;,"	1995	7407
journals/sigmod/RoantreeS02	research inform manag dublin citi univers	roantree smeaton	sigmod record	2002	125
xfrOR_G4_UoJ	research inform manag dublin citi univers	roantree smeaton	"acm sigmod record,"	2002	16586
conf/vldb/Hallmark95	oracl warehous	hallmark	vldb	1995	126
xTKZ6OuegIEJ	oracl warehous	hallmark	"proceedings of the 21th international conference on very  &hellip;,"	1995	29458
conf/vldb/Spintzik95	informixonlin xp dynam scalabl rdbm open parallel platform	spintzik	vldb	1995	127
QcD01ZjsNcIJ	informixonlin xp dynam scalabl rdbm open parallel platform	spintzik	"proceedings of the international conference on very large  &hellip;,"	1995	22159
conf/vldb/AmielBDS94	support except schema consist eas schema evolut oodbm	amiel bellosta dujardin simon	vldb	1994	129
hBak02oe1GMJ	support except schema consist eas schema evolut oodbm	amiel bellosta dujardin simon	"proceedings of the 20th international conference on very  &hellip;,"	1994	36719
journals/sigmod/Suciu01	databas theori xml	suciu	sigmod record	2001	131
_vOvQUzSV-gJ	databas theori xml	suciu	"sigmod record,"	2001	11737
journals/sigmod/Fankhauser01	xqueri formal semant state challeng	fankhauser	sigmod record	2001	133
_sltXCfRKhYJ	xqueri formal semant state challeng	fankhauser	"sigmod record,"	2001	59684
conf/vldb/LevyMS94	queri optim predic movearound	levy mumick sagiv	vldb	1994	136
l-QHiSxClXcJ	queri optim predic movearound	levy mumick sagiv	"proceedings of the 20th international conference on very  &hellip;,"	1994	16062
journals/sigmod/Lomet01	evolut effect btree page organ techniqu person account	lomet	sigmod record	2001	137
fI5o4MfWwzIJ	evolut effect btree page organ techniqu person account	lomet	"sigmod record,"	2001	24660
conf/vldb/MohaniaS94	issu design distribut deduct databas	mohania sarda	vldb	1994	140
JORYEDHKYSMJ	issu design distribut deduct databas	mohania sarda	"proceedings of the international conference on very large  &hellip;,"	1994	58481
conf/vldb/LiC94	semant integr heterogen databas use neural network	clifton	vldb	1994	141
O0rvK0GFmBEJ	semant integr heterogen databas use neural network	clifton	"vldb,"	1994	14805
journals/sigmod/ChienTZ01	xml document version	chien tsotras zaniolo	sigmod record	2001	142
cjBpI3TcSWsJ	xml document version	chien tsotras zaniolo	"sigmod record,"	2001	369
conf/vldb/IdrisGC94	provid dynam secur control feder databas	idris gray churchhouse	vldb	1994	143
Xf7TnMxlGTkJ	provid dynam secur control feder databas	idris gray churchhouse	"proceedings of the international conference on very large  &hellip;,"	1994	24167
conf/vldb/FerrandinaMZ94	implement lazi databas updat object databas system	ferrandina meyer zicari	vldb	1994	146
yQ2TMZ92GaIJ	implement lazi databas updat object databas system	ferrandina meyer zicari	"vldb,"	1994	36342
conf/vldb/SetzerZ94	new concurr control algorithm access compact btree	setzer zisman	vldb	1994	150
1tmW1mOCZqIJ	new concurr control algorithm access compact btree	setzer zisman	"proceedings of the international conference on very large  &hellip;,"	1994	44664
conf/vldb/GehaniJR94	odef file system interfac objectori databas	gehani jagadish roome	vldb	1994	151
MxYiwR2f9UYJ	odef file system interfac objectori databas	gehani jagadish roome	"proceedings of the 20th international conference on very  &hellip;,"	1994	40341
conf/vldb/KilgerM94	index multipl set	kilger moerkotte	vldb	1994	154
OzgnxugGCWMJ	index multipl set	kilger moerkotte	"vldb,"	1994	29910
conf/vldb/HoelS94	perform dataparallel spatial oper	hoel samet	vldb	1994	157
Id1cvsQURBAJ	perform dataparallel spatial oper	hoel samet	"proceedings of the international conference on very large  &hellip;,"	1994	16245
journals/sigmod/EisenbergM01	sqlxml sqlx inform group compani	eisenberg melton	sigmod record	2001	158
GKUflKzgAVEJ	sqlxml sqlx inform group compani	eisenberg melton	"sigmod record,"	2001	62559
conf/vldb/BrinkhoffK94	impact global cluster spatial databas system	brinkhoff kriegel	vldb	1994	160
egvBPvtoaMMJ	impact global cluster spatial databas system	brinkhoff kriegel	"proceedings of the international conference on very large  &hellip;,"	1994	28780
conf/vldb/MuntzR94	requirementbas approach data model reengin	muntz ramiller	vldb	1994	162
o9DfGI9zsloJ	requirementbas approach data model reengin	muntz ramiller	"proceedings of the international conference on very large  &hellip;,"	1994	9744
conf/vldb/ChakravarthyKAK94	composit event activ databas semant context detect	chakravarthy krishnaprasad anwar kim	vldb	1994	166
L9eva_gsxrIJ	composit event activ databas semant context detect	chakravarthy krishnaprasad anwar kim	"proceedings of the international conference on very large  &hellip;,"	1994	45469
conf/vldb/Chiueh94	contentbas imag index	chiueh	vldb	1994	170
nOF-SuSEaaEJ	contentbas imag index	chiueh	"vldb,"	1994	15513
conf/vldb/DeWittKLPY94	clientserv paradis	dewitt kabra luo patel	vldb	1994	171
cehAAlTq4s8J	clientserv paradis	dewitt kabra luo patel	"vldb,"	1994	48997
journals/sigmod/ShethMKA01	research multiorganiz process semant inform broker lsdi lab	sheth miller kochut arpinar	sigmod record	2001	172
url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D604286%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222	research multiorganiz process semant inform broker lsdi lab	sheth miller kochut arpinar	"sigmod record,"	2001	32201
conf/vldb/ShatdalKN94	cach consciou algorithm relat queri process	shatdal kant naughton	vldb	1994	175
27-P8X0mjfcJ	cach consciou algorithm relat queri process	shatdal kant naughton	"proceedings of the international conference on very large  &hellip;,"	1994	22119
conf/vldb/LevySSZ94	challeng global inform system	levy silberschatz srivastava zemankova	vldb	1994	177
MtScC-fTWCEJ	challeng global inform system	levy silberschatz srivastava zemankova	"proceedings of the international conference on very large  &hellip;,"	1994	31762
journals/sigmod/BabuW01	continu queri data stream	babu widom	sigmod record	2001	178
KJ26gUP0PyIJ	continu queri data stream	babu widom	"sigmod record,"	2001	29774
journals/sigmod/Huyn01	data analysi mine life scienc	huyn	sigmod record	2001	179
KNYDz76C_HsJ	data analysi mine life scienc	huyn	"sigmod record,"	2001	40404
conf/vldb/CochinwalaB94	multidatabas system track retriev financi data	cochinwala bradley	vldb	1994	181
Bp69wMYw9DAJ	multidatabas system track retriev financi data	cochinwala bradley	"proceedings of the international conference on very large  &hellip;,"	1994	63304
conf/vldb/BernsteinD94	overview repositori technolog	bernstein dayal	vldb	1994	183
rNNtyNCgHLoJ	overview repositori technolog	bernstein dayal	"vldb,"	1994	60497
journals/sigmod/Aberer01	advanc xml data process  guest editor introduct	aberer	sigmod record	2001	184
url:http://portal.acm.org/citation.cfm%3Fid%3D603867.603869%26coll%3DGUIDE%26dl%3DACM%26idx%3DJ689%26part%3Dperiodical%26WantType%3Dperiodical%26title%3DACM%2520SIGMOD%2520Record%26CFID%3D11111111%26CFTOKEN%3D2222222	advanc xml data process guest editor introduct	aberer	"acm sigmod record,"	2001	59822
conf/vldb/IyerW94	data compress support databas	iyer wilhite	vldb	1994	185
5smJVUm1KAYJ	data compress support databas	iyer wilhite	"vldb,"	1994	50975
conf/vldb/RosenthalS94	data integr larg challeng reus	rosenthal seligman	vldb	1994	190
NFUWsBXtCncJ	data integr larg challeng reus	rosenthal seligman	"proceedings of the international conference on very large  &hellip;,"	1994	17439
journals/sigmod/LabrinidisM01	careerenhanc servic sigmod onlin	labrinidis mendelzon	sigmod record	2001	191
url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D603886%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222	careerenhanc servic sigmod onlin	labrinidis mendelzon	"sigmod record,"	2001	40928
conf/vldb/Lesk94	experi access digit librari imag text use togeth	lesk	vldb	1994	192
nL5wl20jB-kJ	experi access digit librari imag text use togeth	lesk	"proceedings of the international conference on very large  &hellip;,"	1994	13723
journals/sigmod/StolfoLCFE01	data miningbas intrus detector overview columbia id project	stolfo lee chan fan eskin	sigmod record	2001	195
lvIPWxkN4YAJ	data miningbas intrus detector overview columbia id project	stolfo lee chan fan eskin	"sigmod record,"	2001	18711
conf/sigmod/WangJLY03	contain join size estim model method	wang jiang	sigmod conference	2003	200
EQsWWZdE45wJ	contain join size estim model method	wang jiang	"sigmod conference,"	2003	46951
conf/vldb/YanA94	integr structuredtext retriev system objectori databas system	yan annevelink	vldb	1994	203
8j5i7YJQnNAJ	integr structuredtext retriev system objectori databas system	yan annevelink	"vldb,"	1994	9764
journals/sigmod/Cardelli01	describ semistructur data	cardelli	sigmod record	2001	204
UYAoi4DYOXUJ	describ semistructur data	cardelli	"sigmod record,"	2001	8157
conf/vldb/Spaccapietra94	user interfac care	spaccapietra	vldb	1994	206
ZpVzTb1a7VoJ	user interfac care	spaccapietra	"proceedings of the international conference on very large  &hellip;,"	1994	17665
journals/sigmod/LeeF01	mine system audit data opportun challeng	lee fan	sigmod record	2001	209
oUisL_YUScYJ	mine system audit data opportun challeng	lee fan	"sigmod record,"	2001	35952
conf/sigmod/FaginKS03	effici similar search classif via rank aggreg	fagin kumar sivakumar	sigmod conference	2003	210
tQZWeE_nsa0J	effici similar search classif via rank aggreg	fagin kumar sivakumar	"sigmod conference,"	2003	33685
journals/sigmod/SayginVC01	use unknown prevent discoveri associ rule	saygin verykios clifton	sigmod record	2001	211
Tp9iVMsAzocJ	use unknown prevent discoveri associ rule	saygin verykios clifton	"acm sigmod record,"	2001	39923
conf/sigmod/ChaudhuriGS03	factor complex predic queri exploit index	chaudhuri ganesan sarawagi	sigmod conference	2003	213
OFGtGwUHhUQJ	factor complex predic queri exploit index	chaudhuri ganesan sarawagi	"sigmod conference,"	2003	11069
conf/sigmod/BabcockBDM03	chain  oper schedul memori minim data stream system	babcock babu datar motwani	sigmod conference	2003	220
a2wqpKma5J4J	chain  oper schedul memori minim data stream system	babcock babu datar motwani	"sigmod conference,"	2003	1120
conf/sigmod/BenediktCFFR03	captur type constraint data integr	benedikt chan fan freire rastogi	sigmod conference	2003	222
T5ZdpquqfJ0J	captur type constraint data integr	benedikt chan fan freire rastogi	"sigmod conference,"	2003	27356
journals/sigmod/TianDCZ02	design perform evalu altern xml storag strategi	tian dewitt chen zhang	sigmod record	2002	226
JceK-ywXk8UJ	design perform evalu altern xml storag strategi	tian dewitt chen zhang	"sigmod record,"	2002	36892
conf/vldb/MatthesS94	persist thread	matthes schmidt	vldb	1994	229
KRLEL-N4Ce8J	persist thread	matthes schmidt	"proceedings of the international conference on very large  &hellip;,"	1994	18637
journals/sigmod/SommerGB02	ntier hub technolog	sommer gulledge bailey	sigmod record	2002	230
8l5_eKZcCh8J	ntier hub technolog	sommer gulledge bailey	"sigmod record,"	2002	810
journals/sigmod/Cingil02	support global user profil trust author	cingil	sigmod record	2002	231
2K6rhX16hXwJ	support global user profil trust author	cingil	"sigmod record,"	2002	14374
conf/vldb/DavisonG94	memorycontent respons hash join	davison graefe	vldb	1994	232
fN8wW3Y4FJkJ	memorycontent respons hash join	davison graefe	"proceedings of the international conference on very large  &hellip;,"	1994	9033
conf/vldb/GaasterlandL94	qualifi answer reflect user need prefer	gaasterland lobo	vldb	1994	235
oIFrkS2rPrcJ	qualifi answer reflect user need prefer	gaasterland lobo	"vldb,"	1994	54260
journals/sigmod/Bussler02	role b2b engin b2b integr architectur	bussler	sigmod record	2002	238
Phcd3C1cfLcJ	role b2b engin b2b integr architectur	bussler	"sigmod record,"	2002	52792
journals/sigmod/BallMRZ02	suppli chain infrastructur system integr inform share	ball raschid zhao	sigmod record	2002	239
Mfc9xsb7BuQJ	suppli chain infrastructur system integr inform share	ball raschid zhao	"sigmod record,"	2002	63576
conf/vldb/ChawatheCY94	index select scheme nest object hierarchi	chawathe chen	vldb	1994	240
VPwP1w9wvhEJ	index select scheme nest object hierarchi	chawathe chen	"proceedings of the international conference on very large  &hellip;,"	1994	45051
conf/vldb/SistlaYH94	reason spatial relationship pictur retriev system	sistla haddad	vldb	1994	242
FT4Sfn-Z7GUJ	reason spatial relationship pictur retriev system	sistla haddad	"vldb,"	1994	4516
conf/vldb/LuOT94	spatial partit tempor join	ooi tan	vldb	1994	244
ZFXYXT4yEcAJ	spatial partit tempor join	ooi tan	"proceedings of the international conference on very large  &hellip;,"	1994	38211
conf/vldb/HjelsvoldM94	model queri video data	hjelsvold midtstraum	vldb	1994	245
eyNcyx9rcFwJ	model queri video data	hjelsvold midtstraum	"vldb,"	1994	23484
journals/sigmod/Stonebraker02	much middlewar	stonebraker	sigmod record	2002	246
0HMk-YUh4i8J	much middlewar	stonebraker	"sigmod record,"	2002	26
journals/sigmod/Suciu02	xml typecheck problem	suciu	sigmod record	2002	248
Ikk1rb4o66UJ	xml typecheck problem	suciu	"sigmod record,"	2002	13104
conf/vldb/NgY94	maxim buffer disk util news ondemand	yang	vldb	1994	250
1O-Uy922LQUJ	maxim buffer disk util news ondemand	yang	"proceedings of the international conference on very large  &hellip;,"	1994	51927
conf/vldb/XieH94	join index hierarchi support effici navig objectori databas	xie han	vldb	1994	253
7P8_zVPEW64J	join index hierarchi support effici navig objectori databas	xie han	"vldb,"	1994	28454
journals/sigmod/Snodgrass02	like work academia	snodgrass	sigmod record	2002	256
_qopgNiYmXQJ	like work academia	snodgrass	"sigmod record,"	2002	22558
journals/sigmod/VassiliadisS99	survey logic model olap databas	vassiliadis sellis	sigmod record	1999	257
eGARASwVBrUJ	survey logic model olap databas	vassiliadis sellis	"sigmod record,"	1999	25081
journals/sigmod/JacobS99	fintim  financi time seri benchmark	jacob shasha	sigmod record	1999	259
3-iiSyJLwLkJ	fintim  financi time seri benchmark	jacob shasha	"sigmod record,"	1999	50528
journals/sigmod/KempsterST99	dilut acid	kempster stirling thanisch	sigmod record	1999	262
JfmkT9KvKWoJ	dilut acid	kempster stirling thanisch	"sigmod record,"	1999	2647
journals/sigmod/GatziuJSV99	design manag data warehous report dmdw99 workshop	gatziu jeusfeld staudt vassiliou	sigmod record	1999	264
HtqrJuo7GSsJ	design manag data warehous report dmdw99 workshop	gatziu jeusfeld staudt vassiliou	"sigmod record,"	1999	29992
conf/sigmod/WangPFY03	vist dynam index method queri xml data tree structur	wang park fan	sigmod conference	2003	265
jpNXw9L7pxgJ	vist dynam index method queri xml data tree structur	wang park fan	"sigmod conference,"	2003	31771
journals/sigmod/EisenbergM00	sql standard next step	eisenberg melton	sigmod record	2000	268
4mD1eFCHKKwJ	sql standard next step	eisenberg melton	"acm sigmod record,"	2000	24355
conf/sigmod/SchleimerWA03	winnow local algorithm document fingerprint	schleimer wilkerson aiken	sigmod conference	2003	272
nCRFjDfhOmcJ	winnow local algorithm document fingerprint	schleimer wilkerson aiken	"sigmod conference,"	2003	10767
conf/sigmod/Ullman03	improv effici databasesystem teach	ullman	sigmod conference	2003	281
TabFkjNTLMsJ	improv effici databasesystem teach	ullman	"sigmod conference,"	2003	38039
journals/sigmod/BonifatiC00	compar analysi five xml queri languag	bonifati ceri	sigmod record	2000	282
XCdMiXLp41IJ	compar analysi five xml queri languag	bonifati ceri	"sigmod record,"	2000	22936
journals/sigmod/LiefkeS00	extens compressor xml data	liefke suciu	sigmod record	2000	283
N0eowMtIAukJ	extens compressor xml data	liefke suciu	"sigmod record,"	2000	6852
journals/sigmod/Vassilakis00	optimis scheme coalescevalid time select oper sequenc	vassilakis	sigmod record	2000	285
nZO8ZA4eYzYJ	optimis scheme coalescevalid time select oper sequenc	vassilakis	"sigmod record,"	2000	12967
conf/sigmod/Mamoulis03	effici process join setvalu attribut	mamoulis	sigmod conference	2003	286
8-eaDTdtfY4J	effici process join setvalu attribut	mamoulis	"sigmod conference,"	2003	56525
journals/sigmod/PourabbasR00	hierarchi rel oper olap environ	pourabbas rafanelli	sigmod record	2000	287
3y6y5AXu-j0J	hierarchi rel oper olap environ	pourabbas rafanelli	"sigmod record,"	2000	62295
conf/sigmod/ChengKP03	evalu probabilist queri imprecis data	cheng kalashnikov prabhakar	sigmod conference	2003	289
kSt-Pqp2ilYJ	evalu probabilist queri imprecis data	cheng kalashnikov prabhakar	"sigmod conference,"	2003	53505
conf/sigmod/OlstonJW03	adapt filter continu queri distribut data stream	olston jiang widom	sigmod conference	2003	291
D1h_jOHVyA4J	adapt filter continu queri distribut data stream	olston jiang widom	"sigmod conference,"	2003	30276
journals/sigmod/Palpanas00	knowledg discoveri data warehous	palpanas	sigmod record	2000	293
MGG31wuhuUIJ	knowledg discoveri data warehous	palpanas	"sigmod record,"	2000	35073
conf/sigmod/BabcockCD03	dynam sampl select approxim queri process	babcock chaudhuri das	sigmod conference	2003	296
