idDBLP,idScholar,DBLP_Match,Scholar_Match,Match_ID
conf/vldb/Spintzik95,QcD01ZjsNcIJ,127,22159,127_22159
journals/sigmod/Suciu01,_vOvQUzSV-gJ,131,11737,131_11737
journals/sigmod/Fankhauser01,_sltXCfRKhYJ,133,59684,133_59684
journals/sigmod/Lomet01,fI5o4MfWwzIJ,137,24660,137_24660
conf/vldb/FerrandinaMZ94,yQ2TMZ92GaIJ,146,36342,146_36342
conf/vldb/KilgerM94,OzgnxugGCWMJ,154,29910,154_29910
journals/sigmod/EisenbergM01,GKUflKzgAVEJ,158,62559,158_62559
conf/vldb/Chiueh94,nOF-SuSEaaEJ,170,15513,170_15513
journals/sigmod/BabuW01,KJ26gUP0PyIJ,178,29774,178_29774
journals/sigmod/Huyn01,KNYDz76C_HsJ,179,40404,179_40404
conf/vldb/CochinwalaB94,Bp69wMYw9DAJ,181,63304,181_63304
conf/vldb/Lesk94,nL5wl20jB-kJ,192,13723,192_13723
journals/sigmod/Cardelli01,UYAoi4DYOXUJ,204,8157,204_8157
conf/vldb/Spaccapietra94,ZpVzTb1a7VoJ,206,17665,206_17665
journals/sigmod/LeeF01,oUisL_YUScYJ,209,35952,209_35952
conf/sigmod/FaginKS03,tQZWeE_nsa0J,210,33685,210_33685
conf/sigmod/ChaudhuriGS03,OFGtGwUHhUQJ,213,11069,213_11069
conf/sigmod/BabcockBDM03,a2wqpKma5J4J,220,1120,220_1120
journals/sigmod/Cingil02,2K6rhX16hXwJ,231,14374,231_14374
conf/vldb/GaasterlandL94,oIFrkS2rPrcJ,235,54260,235_54260
journals/sigmod/Bussler02,Phcd3C1cfLcJ,238,52792,238_52792
conf/vldb/HjelsvoldM94,eyNcyx9rcFwJ,245,23484,245_23484
journals/sigmod/Stonebraker02,0HMk-YUh4i8J,246,26,246_26
journals/sigmod/Suciu02,Ikk1rb4o66UJ,248,13104,248_13104
conf/vldb/XieH94,7P8_zVPEW64J,253,28454,253_28454
journals/sigmod/KempsterST99,JfmkT9KvKWoJ,262,2647,262_2647
journals/sigmod/GatziuJSV99,HtqrJuo7GSsJ,264,29992,264_29992
journals/sigmod/EisenbergM00,4mD1eFCHKKwJ,268,24355,268_24355
journals/sigmod/BonifatiC00,XCdMiXLp41IJ,282,22936,282_22936
journals/sigmod/LiefkeS00,N0eowMtIAukJ,283,6852,283_6852
journals/sigmod/Vassilakis00,nZO8ZA4eYzYJ,285,12967,285_12967
conf/sigmod/Mamoulis03,8-eaDTdtfY4J,286,56525,286_56525
journals/sigmod/PourabbasR00,3y6y5AXu-j0J,287,62295,287_62295
conf/sigmod/OlstonJW03,D1h_jOHVyA4J,291,30276,291_30276
journals/sigmod/Palpanas00,MGG31wuhuUIJ,293,35073,293_35073
conf/sigmod/BabcockCD03,mbhZ3gSR3NMJ,296,56874,296_56874
journals/sigmod/WestmannKHM00,9jyzas_rFd4J,298,51865,298_51865
journals/sigmod/ArpinarD00,YQQMvRraFBwJ,307,2496,307_2496
conf/sigmod/ReissK03,L1m30vG-d5sJ,309,17059,309_17059
conf/sigmod/PapadiasTFS03,MkRJhOROQjsJ,317,5601,317_5601
journals/sigmod/RashidS00,e0GH54HirssJ,339,44136,339_44136
journals/sigmod/Jhingran00,lrGge6mTVckJ,342,16669,342_16669
conf/sigmod/ChaudhuriGGM03,H5IdN0_MQw4J,356,37106,356_37106
journals/sigmod/FengJH01,SUT-QTwqFNkJ,372,57526,372_57526
conf/sigmod/ZhuS03,hIGjgc6mx0cJ,376,11354,376_11354
journals/sigmod/PuSW01,nkW4iN6JqfAJ,384,33212,384_33212
journals/sigmod/MeltzerC98,77mq-gn4LiAJ,390,35294,390_35294
journals/sigmod/EisenbergM98a,AatoNnELw78J,396,39144,396_39144
journals/sigmod/Ritter98,mzqmEYGGT_IJ,397,44153,397_44153
conf/sigmod/OlstonW02,pBKI-JCAlcIJ,398,2288,398_2288
journals/sigmod/ReichB98,HzOZXA_VJk8J,403,32708,403_32708
conf/sigmod/KornMZ03,6VAQeD6muakJ,413,842,413_842
conf/sigmod/ZhuSZ03,7VSlB0yIt3YJ,420,46489,420_46489
journals/sigmod/RoantreeMH99,JJK6WGPyubgJ,424,52448,424_52448
journals/sigmod/Danish98,mKZyoPZArGcJ,427,44894,427_44894
journals/sigmod/SycaraKWL99,YgouJdrCoZQJ,450,19730,450_19730
conf/sigmod/ShashaB02a,url:http://portal.acm.org/citation.cfm%3Fid%3D564691.564798%26dl%3DGUIDE%26dl%3DACM%26type%3Dseries%26idx%3D564691%26part%3DProceedings%26WantType%3DProceedings%26title%3DInternational%2520Conference%2520on%2520Management%2520of%2520Data%2520and%2520Symposium%2520on%2520Principles%2520of%2520Database%2520Systems%26CFID%3D11111111%26CFTOKEN%3D2222222,451,64007,451_64007
journals/sigmod/PapazoglouH99,WbsAK4ZE17YJ,452,27649,452_27649
journals/sigmod/KuanL99,lkrtCULVA6oJ,457,59599,457_59599
journals/sigmod/CeriFP99,zCbDZVfxWhAJ,459,45995,459_45995
conf/sigmod/Bonnet02,bqyt1789jJ8J,462,6026,462_6026
conf/sigmod/AgrawalCD02,iABZEL2Zoz8J,469,38382,469_38382
journals/sigmod/RosenthalS99,c6lzPzSWbKAJ,491,27007,491_27007
journals/sigmod/RamDD99,uA-E1lBgLe0J,493,38769,493_38769
journals/sigmod/Libkin99,zSO1Y5W7WkwJ,501,31189,501_31189
conf/sigmod/BrunoC02,KAf2DUUVabIJ,505,29630,505_29630
journals/sigmod/Abiteboul99,J_7kZS39msAJ,506,62245,506_62245
conf/sigmod/Ramanan02,VGe-IBWyMm4J,507,59315,507_59315
journals/sigmod/MusickC99,mA4kKq9Z3tYJ,510,10204,510_10204
journals/sigmod/McHughW97,dAnyGPqToQEJ,514,21834,514_21834
journals/sigmod/AshishK97,rWfbcLnj7_YJ,525,35583,525_35583
conf/sigmod/DasuJMS02,POt1WbTBB4cJ,530,9640,530_9640
journals/sigmod/GrayG97,fFCqy9V5XNgJ,531,3293,531_3293
journals/sigmod/DadamK97,9Ai_9dZChG4J,535,16198,535_16198
conf/sigmod/TaoP02,fDWfHiQ6BR4J,537,25812,537_25812
journals/sigmod/ClementLGMK97,J7Y20fYLGbcJ,549,39486,549_39486
journals/sigmod/HadzilacosT97,a8YsBAmwFjoJ,555,62875,555_62875
journals/sigmod/Fong97,rgJU30QjbhkJ,562,1034,562_1034
journals/sigmod/RamanathanH97,EID4UO0Kv04J,563,18907,563_18907
journals/sigmod/ChaudhuriD97,zlbJ-7JZdP0J,566,48833,566_48833
conf/sigmod/TheobaldW02,w5_HkketH-wJ,569,18324,569_18324
journals/sigmod/McHughAGQW97,FUXcNB3HHi4J,570,43470,570_43470
journals/sigmod/FrewD97,5jMT1PENhSIJ,574,7924,574_7924
conf/sigmod/LuWYBLY02,JKQ1qE-naxQJ,579,54144,579_54144
journals/sigmod/FlorescuLM98,_SR_pRTnA6IJ,584,29830,584_29830
journals/sigmod/Lomet98,xLM0YVcccUgJ,588,6108,588_6108
journals/sigmod/GriffinK98,Qvl2bcDAyqEJ,589,13297,589_13297
conf/sigmod/ChaudhuriDN01,qfohkpyTawoJ,597,52570,597_52570
journals/sigmod/KappelR98,tbZ0J3HLI18J,604,32502,604_32502
conf/sigmod/HanPLJ01,H_tzR6yoJLEJ,611,31388,611_31388
journals/sigmod/Seshadri98,_nIg_hi8PAAJ,614,63668,614_63668
journals/sigmod/Roussopoulos98,GfjHZswtM0EJ,615,55314,615_55314
journals/sigmod/Han98,Y0GdVVrbzfQJ,625,30666,625_30666
conf/sigmod/HanPDW01,ue3gCyIirokJ,626,51606,626_51606
journals/sigmod/Manola98,VIjfH9f94xkJ,635,52686,635_52686
conf/sigmod/GodfreyGXZ01,LNnvt5TpBhkJ,638,17907,638_17907
journals/sigmod/ChangASS98,CPzROuDNZqgJ,640,63016,640_63016
journals/sigmod/BrunieK96,spI2g7jFHuYJ,643,52538,643_52538
journals/sigmod/HasanFV96,m2CCumFeAWgJ,652,43259,652_43259
journals/sigmod/Dogac96,url:http://portal.acm.org/citation.cfm%3Fid%3D234889.234900%26dl%3DGUIDE%26dl%3DACM%26idx%3DJ689%26part%3Dperiodical%26WantType%3Dperiodical%26title%3DACM%2520SIGMOD%2520Record%26CFID%3D11111111%26CFTOKEN%3D2222222,654,45732,654_45732
conf/sigmod/ShahC01,2wGOv6yh4yIJ,655,6248,655_6248
journals/sigmod/BilirisP96,fu9j50Kk4Y4J,656,1397,656_1397
journals/sigmod/Colliat96,FP-ribG9oVsJ,659,29173,659_29173
journals/sigmod/Qian96a,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D234903%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,663,46783,663_46783
conf/sigmod/MistryRSR01,r62IMncHe0IJ,669,56345,669_56345
journals/sigmod/SilberschatzSU96,_ZsI_bVIJMwJ,674,42509,674_42509
conf/sigmod/BertinoCF01,JSzfxAgs4pgJ,679,38047,679_38047
journals/sigmod/AdelbergKG96,GfiQygac5twJ,685,55397,685_55397
conf/sigmod/GreenwaldK01,8but_7FuryIJ,686,49552,686_49552
conf/sigmod/DeshpandeGR01,knAoAIpo7hYJ,691,23234,691_23234
journals/sigmod/Baeza-YatesN96,1avO1fqtQ6QJ,692,54210,692_54210
journals/sigmod/FreemanG96,Em3qp7RGalkJ,693,52067,693_52067
conf/sigmod/LazaridisM01,IvMJ4bK708kJ,694,38108,694_38108
conf/sigmod/BrunoCG01,8KJ9XFv1ESAJ,696,50970,696_50970
journals/sigmod/Qian96,NiswbODuzhAJ,703,7203,703_7203
conf/sigmod/ZhangNDLL01,ryaV3kTsJ2IJ,714,63387,714_63387
conf/sigmod/AgrawalCN01,2Ua-pWTof_YJ,717,23192,717_23192
journals/sigmod/Gardels97,PlitMluIJyYJ,718,37426,718_37426
journals/sigmod/Ioannidis96,IgQsVaud8BIJ,721,33670,721_33670
conf/sigmod/HristidisKP01,mg9ABNG06O4J,724,50021,724_50021
journals/sigmod/Qian97,url:http://portal.acm.org/citation.cfm%3Fid%3D248603.248618%26dl%3DGUIDE%26dl%3DACM%26idx%3DJ689%26part%3Dperiodical%26WantType%3Dperiodical%26title%3DACM%2520SIGMOD%2520Record%26CFID%3D11111111%26CFTOKEN%3D2222222,725,41451,725_41451
journals/sigmod/DoanPSB97,fdM1W8iEk_YJ,727,53588,727_53588
conf/sigmod/KeoghCMP01,QTzuiNlMnR4J,733,10942,733_10942
journals/sigmod/RafanelliBT96,MfWZUBAVPFUJ,738,42135,738_42135
journals/sigmod/Darwen96,url:http://portal.acm.org/citation.cfm%3Fid%3D245882.245886%26dl%3DGUIDE%26dl%3DACM%26idx%3DJ689%26part%3Dperiodical%26WantType%3Dperiodical%26title%3DACM%2520SIGMOD%2520Record%26CFID%3D11111111%26CFTOKEN%3D2222222,743,52831,743_52831
journals/sigmod/SantucciT96,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D245898%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,748,8113,748_8113
conf/sigmod/GehrkeKS01,f6JFkfhawW8J,751,14733,751_14733
journals/sigmod/Ahlberg96,4bBje8qkHVgJ,752,7056,752_7056
journals/sigmod/Eisenberg96,tFbkjO2wcFMJ,753,57536,753_57536
journals/sigmod/Sidell96,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D245906%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,759,39375,759_39375
journals/sigmod/ZobelMR96,6NbNX8nSta0J,763,32491,763_32491
journals/sigmod/Qian96b,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D245909%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,766,3401,766_3401
conf/sigmod/ChoSG00,ilJdCU_qODkJ,769,26435,769_26435
journals/sigmod/DogacAOD95,oUOuTMrB0esJ,774,4430,774_4430
conf/sigmod/WaasG00,xnoCdNeQykAJ,781,56174,781_56174
conf/sigmod/WattezCBFF00,1SA9LhktHsUJ,783,50140,783_50140
journals/sigmod/Qian95a,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D212022%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,787,9337,787_9337
journals/sigmod/KimballS95,5AiEsU9p7FIJ,790,26039,790_26039
journals/sigmod/Zhang95,f86VsMJZ9gAJ,791,1970,791_1970
conf/sigmod/MoonSL00,7Xra4piXrIIJ,800,30098,800_30098
conf/sigmod/LiuPBHPT00,q_o5zij9nCEJ,801,5696,801_5696
journals/sigmod/JainH94,iQMUP3fkvo4J,806,7347,806_7347
journals/sigmod/Bertram94,qaSgL5tVq1AJ,812,27445,812_27445
journals/sigmod/KiyokiKH94,xT3mwY4t5kEJ,816,18128,816_18128
conf/sigmod/Weininger00,url:http://portal.acm.org/citation.cfm%3Fid%3D335465,823,59930,823_59930
conf/sigmod/ChenDLT00,url:http://portal.acm.org/citation.cfm%3Fid%3D342009.336560,825,64107,825_64107
journals/sigmod/Jannink95,22yR9rN5xuQJ,826,41552,826_41552
journals/sigmod/NgH95,url:http://portal.acm.org/citation.cfm%3Fid%3D202660.202665%26dl%3DGUIDE%26dl%3DACM%26idx%3DJ689%26part%3Dperiodical%26WantType%3Dperiodical%26title%3DACM%2520SIGMOD%2520Record%26CFID%3D11111111%26CFTOKEN%3D2222222,827,30339,827_30339
journals/sigmod/Jarke95,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D202671%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,830,27452,830_27452
journals/sigmod/Qian95b,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D219772%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,835,53540,835_53540
conf/sigmod/GoldmanW00,Ol886Ck3jz4J,836,46937,836_46937
journals/sigmod/EnglertGH95,JRXuKm3E_foJ,837,36238,837_36238
journals/sigmod/ElmagarmidJF95,CJK2SWLYrRYJ,851,62820,851_62820
journals/sigmod/BhargavaAP95,Sql66UDiVnwJ,857,15919,857_15919
conf/sigmod/KornM00,HlhXdvHzlvwJ,859,33038,859_33038
journals/sigmod/Fong95,zw3-t-veNvAJ,865,26104,865_26104
journals/sigmod/Richey95,2p2A5_qGf5cJ,874,21799,874_21799
journals/sigmod/Wong95,7F9iCGggYVgJ,882,33505,882_33505
journals/sigmod/Finkelstein95,gbnxN3MpucMJ,892,55049,892_55049
journals/sigmod/Stacey95,rdXUggm5kg0J,893,62871,893_62871
conf/sigmod/ChakrabartiM99,Jg81WYtxtZoJ,901,53259,901_53259
journals/tods/TaoSP03,FBp7oibu4ygJ,902,21139,902_21139
journals/tods/ChoG03,HqAWyuB11loJ,906,45388,906_45388
journals/tods/Chomicki03,pHuL-9kHWH0J,907,35775,907_35775
journals/sigmod/Loeffen94,gb-yIDOxaEkJ,923,59498,923_59498
journals/sigmod/Gallagher94,PVm9r7wHzDAJ,927,27278,927_27278
conf/sigmod/YerneniLGU99,hnMltY0uSf0J,929,63913,929_63913
journals/tods/MelnikG03,y2dZ5cRja_IJ,932,43360,932_43360
journals/tods/CiacciaP02,dArDZIV5VE4J,935,2296,935_2296
conf/sigmod/CallanCD99,eWVreKOw_QgJ,936,58501,936_58501
conf/sigmod/BeyerR99,6Cdfxiuibd0J,937,14480,937_14480
conf/sigmod/MayrS99,1lRZz4bZvxEJ,939,19681,939_19681
journals/tods/ChakrabartiKMP02,eHY42LnL_lsJ,942,13811,942_13811
journals/tods/TaoPZ02,CxBJwFNdozAJ,943,11368,943_11368
conf/sigmod/KotidisR99,qzjtGDo7OuMJ,944,1756,944_1756
journals/tods/TaoP03,faqaX7J_Kl8J,950,31227,950_31227
conf/sigmod/BlohsfeldKS99,PQbi3PaRh84J,951,29366,951_29366
journals/tods/BeneventanoBS03,rRH6Z1oP78cJ,960,27429,960_27429
conf/sigmod/MamoulisP99,z9MQwq7G3GYJ,964,32923,964_32923
journals/sigmod/Datta94,PPH2NlobSwsJ,969,16538,969_16538
conf/sigmod/BraumandlKK99,4fjXoCHhe1kJ,971,16696,971_16696
conf/sigmod/LiuHBPT99,PKQ1dCQIwi0J,974,53253,974_53253
conf/sigmod/Greer99,oNPjyBZrURgJ,977,47013,977_47013
journals/sigmod/ChenHKPW94,HTvxhMKB69AJ,979,62735,979_62735
conf/sigmod/KrishnamurthyBN99,qS4jhfgPbm8J,987,906,987_906
journals/sigmod/BarclayBGS94,wPhDoeiINQsJ,989,52051,989_52051
conf/sigmod/Mohan99,XppwYYxOpksJ,991,28174,991_28174
journals/sigmod/Yang94,sHJ914nPZtUJ,998,56170,998_56170
conf/sigmod/AboulnagaC99,WWaxLMIptTMJ,1007,23554,1007_23554
journals/sigmod/BunemanLSTW94,lkreWUl_euYJ,1008,44272,1008_44272
journals/sigmod/Widom94,lAbG3uFZvVUJ,1009,48146,1009_48146
journals/sigmod/YeungHL94,yQv94p3tE1IJ,1015,35670,1015_35670
journals/sigmod/Qian94,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D187462%26type%3Dpdf%26coll%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,1019,10357,1019_10357
conf/vldb/AgrawalSX01,bpWvAVOZLbwJ,1026,11617,1026_11617
conf/vldb/SakuraiYKU01,OQMYc3S0Ny8J,1032,22494,1032_22494
conf/vldb/BaumgartnerFG01,I1xHtA3f3MsJ,1039,43365,1039_43365
conf/vldb/MargaritisFT01,z2EsEsrBfsYJ,1042,52363,1042_52363
conf/vldb/DongHLPW01,C_H34ddegI8J,1043,59621,1043_59621
conf/vldb/LiM01,vkMYwC5tzUgJ,1046,42184,1046_42184
conf/vldb/FegarasE01,pinPEM3Rvm0J,1050,34319,1050_34319
conf/sigmod/DeutschFS99,QxtGOVsCF78J,1068,33671,1068_33671
conf/vldb/MaedaT01,dipeGpTdsoQJ,1071,17281,1071_17281
conf/vldb/MignetMAC01,VaDXNMtPZ4oJ,1089,36294,1089_36294
conf/vldb/YangG01,xQYKEHCggZQJ,1093,12443,1093_12443
conf/sigmod/LometW98,F2ecYx97F2sJ,1103,9173,1103_9173
conf/vldb/Shmueli01,rEwEqoAns-gJ,1110,9611,1110_9611
conf/vldb/SadriZZA01,89l6j2Mbe2kJ,1111,35453,1111_35453
conf/sigmod/WhiteCF98,tORqjZEtKvMJ,1112,29693,1112_29693
conf/vldb/Novaretti01,tZtnFoH5lY0J,1114,23314,1114_23314
conf/vldb/Draluk01,xQzrilMR-QQJ,1115,15840,1115_15840
conf/sigmod/Aulakh98,xFK4CkKj14EJ,1119,40690,1119_40690
conf/sigmod/VossenW99,9PhYz-N58A8J,1128,58263,1128_58263
conf/vldb/WaasCB01,y_gKGtzupHIJ,1129,56651,1129_56651
conf/sigmod/KotidisR98,CpHJwU8o-BkJ,1137,7495,1137_7495
conf/vldb/Kotidis01,lRL4LmMtwnYJ,1138,26905,1138_26905
conf/vldb/ManolopoulosT01,hr5OGCJqc2MJ,1150,8147,1150_8147
conf/vldb/DingGS00,I5fV3jpcrmAJ,1158,15218,1158_15218
conf/vldb/PantiSG00,C7Vuxp5KVsAJ,1159,31974,1159_31974
conf/vldb/PappasC00,url:http://portal.acm.org/citation.cfm%3Fid%3D645926.671850,1164,31637,1164_31637
conf/sigmod/ChaudhuriMN98,hvMTb3FYOjQJ,1172,48627,1172_48627
conf/vldb/Banerjee00,owfPKT5ip68J,1182,11037,1182_11037
conf/sigmod/JaedickeM98,MswqiEweEGUJ,1183,32589,1183_32589
conf/vldb/Tsur00,buI2V0eIcZoJ,1184,29459,1184_29459
conf/vldb/ChoenniV00,R1j3CdeOlwsJ,1186,17297,1186_17297
conf/sigmod/DarEGP98,ewnL82c8kiMJ,1190,40831,1190_40831
conf/vldb/YuV00,43N2r_SuYccJ,1200,57699,1200_57699
conf/vldb/PardonA00,k7G60pXtD58J,1202,22155,1202_22155
conf/vldb/YagoubFIV00,195Hlqu94qEJ,1204,36998,1204_36998
conf/vldb/LuL00,Ih5hY-NRmFgJ,1212,36310,1212_36310
conf/sigmod/ShintaniK98,JfxEos8BQDAJ,1214,52699,1214_52699
conf/vldb/GoldsteinR00,ylZFc8RNoeQJ,1216,47364,1216_47364
conf/sigmod/Toyama98,h4OQc4N4kjIJ,1219,45733,1219_45733
conf/vldb/CatozziR01,x_mqIy3GCmAJ,1229,60781,1229_60781
conf/vldb/BaumgartnerFG01a,GGyAHg9kwysJ,1233,42864,1233_42864
conf/sigmod/AcharyaFZ97,9OEjtHuRUzsJ,1239,18522,1239_18522
conf/vldb/LabrinidisR01,3Ozte0ucNJAJ,1255,20303,1255_20303
conf/vldb/SatheS01,L1IBwD8w1G0J,1258,63303,1258_63303
conf/vldb/Duranti01,gQW6iYG5Vh0J,1266,46092,1266_46092
conf/vldb/WiesnerK01,UrDwK2S7QVwJ,1271,2606,1271_2606
conf/vldb/Huyn01,SbL4xw4mCewJ,1276,25679,1276_25679
conf/vldb/Gentili01,2j1dalv3kCEJ,1279,7555,1279_7555
conf/vldb/Blecken00,hCSzil0nuVEJ,1290,38248,1290_38248
conf/vldb/Ladin00,kPTa4IiS_sgJ,1298,25595,1298_25595
conf/vldb/Deshpande00,2DiLFd0rgPgJ,1301,36468,1301_36468
conf/sigmod/AdelbergGW97,zZo47Z-jVX4J,1309,18839,1309_18839
conf/vldb/AdiBEY00,RkjggE7xhN0J,1319,22815,1319_22815
conf/sigmod/HanKS97,nD_Yjp9TNuIJ,1324,27415,1324_27415
conf/vldb/HelalL00,LPapCvY4RFkJ,1328,26833,1328_26833
conf/vldb/SakuraiYUK00,K2xCMgImpVkJ,1343,10846,1343_10846
conf/sigmod/LlirbatFS97,hJiwQ2CQRBkJ,1344,61969,1344_61969
conf/sigmod/Chakravarthy97,5Ng-bLUNAsQJ,1350,56939,1350_56939
conf/sigmod/SeshadriP97,f9POLlECN2gJ,1352,25875,1352_25875
conf/vldb/KoudasIM00,VSR4PwHmGWsJ,1356,47914,1356_47914
conf/vldb/JohnsonA00,EPVkQkFM2osJ,1362,26377,1362_26377
conf/vldb/DiaoLCT00,lzbvXZxLKJIJ,1363,1875,1363_1875
conf/vldb/Sarawagi00,z5DmAoBjsjAJ,1365,3912,1365_3912
conf/vldb/ChoG00,9MI4jOOqkn4J,1377,50149,1377_50149
conf/vldb/BalminPP00,FoAVdcYe0tsJ,1379,30868,1379_30868
conf/vldb/OlstonW00,R_hYW6eIUuYJ,1385,21535,1385_21535
conf/sigmod/AtzeniT97,i2LI1TWifbYJ,1386,57338,1386_57338
conf/vldb/GrumbachRS00,iQ3Zi3crc9wJ,1388,25470,1388_25470
conf/vldb/ChakrabartiM00,7P1LlDStRGYJ,1392,40174,1392_40174
conf/vldb/WangHH00,qbxHq9qXVrUJ,1395,28699,1395_28699
conf/vldb/ChaudhuriW00,OuM0E0BhEXIJ,1397,705,1397_705
conf/vldb/ChristopheBPV00,8DRB_dYz2CgJ,1400,9720,1400_9720
conf/vldb/Taylor00,Af_4cNCu3MwJ,1401,11310,1401_11310
conf/sigmod/GuptaHR97,pGix0qZ6Uz4J,1402,41751,1402_41751
conf/sigmod/GeorgeH97,Ah9B3bWU0jEJ,1408,37771,1408_37771
conf/vldb/DeutschPT99,0aJOXauNqYIJ,1412,32462,1412_32462
conf/vldb/JaedickeM99,zh6yaOX2xiQJ,1413,42791,1413_42791
conf/sigmod/ZouS96,DYFIQvOg7rgJ,1417,24545,1417_24545
conf/vldb/GionisIM99,A8rGBQif7MIJ,1418,57168,1418_57168
conf/sigmod/ZhangRL96,hk9P76dJfcAJ,1420,37933,1420_37933
conf/sigmod/VanceM96,CMMaMlYwgPkJ,1426,36364,1426_36364
conf/vldb/Johnson99,B3PwhNu8Y6IJ,1427,11953,1427_11953
conf/vldb/McHughW99,bXRF6rASxhgJ,1431,60361,1431_60361
conf/sigmod/GoelI96,hD6w1eBfjWcJ,1432,23246,1432_23246
conf/vldb/DonjerkovicR99,Eq1w4LPv_igJ,1433,60504,1433_60504
conf/sigmod/SrikantA96,KVEv4thH4CgJ,1439,32575,1439_32575
conf/vldb/Hamilton99,_zPTedzhFhQJ,1443,49974,1443_49974
conf/sigmod/Han96,DlQd7WIkVF0J,1444,43258,1444_43258
conf/sigmod/LeflerSW96,4b12cZc8QK4J,1445,12484,1445_12484
conf/vldb/Pound99,zWp_JdEQ8MgJ,1446,44542,1446_44542
conf/vldb/GarofalakisRS99,Xm3ygCvkmN8J,1448,49793,1448_49793
conf/sigmod/HullZ96,H1E3GuQcoUAJ,1449,35379,1449_35379
